#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-125646.578125,-71410.37812034972,298.9166123454459,0
1000,2.0000000000000013,-125183.7265625,-70480.14814668358,301.49251499602246,72
1500,2.999999999999891,-125183.84375,-71105.83523845859,298.0447580264134,76.3
2000,3.999999999999781,-125896.859375,-71856.71017080825,297.83610078461294,77.9
2500,4.999999999999671,-126422.21875,-72045.8312838485,299.6892395037214,77.8
3000,5.999999999999561,-126291.3984375,-72362.56283756695,297.2226085877017,78.5
3500,6.999999999999451,-124703.9921875,-70753.88412099273,297.33984935390674,78.9
4000,7.999999999999341,-125344.40625,-70416.29963005811,302.7299765096875,78.7
4500,8.999999999999675,-126088.2734375,-71225.5549080947,302.3695975283198,78.5
5000,10.000000000000009,-126045.8828125,-71636.56292341609,299.87074278563347,77.5
5500,11.000000000000343,-126020.703125,-71354.85959670617,301.28454347986684,75.9
6000,12.000000000000677,-125683.21875,-71278.33177304827,299.84631129748976,76.3
6500,13.00000000000101,-125453.6875,-71387.94815451978,297.97713792111466,76.1
7000,14.000000000001345,-125898.53125,-70835.74636799778,303.4722403454318,76.4
7500,15.000000000001679,-126661.34375,-71230.67263140809,305.499803256559,76.7
8000,16.00000000000201,-125471.703125,-71459.22399722034,297.6836003235974,76.6
8500,17.000000000001457,-125910.1875,-71702.34798172303,298.7603067689039,76.9
9000,18.000000000000902,-126074.3984375,-72099.29154148907,297.47762754314556,76.7
9500,19.000000000000348,-126034.65625,-71314.38820755243,301.5844979641041,76.9
10000,19.999999999999794,-125414.8046875,-70612.80868607189,302.0349322613129,77.1
10500,20.99999999999924,-126279.109375,-71591.42301113578,301.40492776955085,77
11000,21.999999999998685,-125528.71875,-71076.83955472265,300.10530353343705,77.2
11500,22.99999999999813,-126210.59375,-72128.86129568005,298.06528211106223,77.3
12000,23.999999999997577,-126260.7421875,-72091.53931971546,298.54736528929095,77.2
