#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-124821.484375,-70383.89589140727,300.05404142186114,0
1000,2.0000000000000013,-124922.921875,-69854.31106607988,303.5321675515476,77.6
1500,2.999999999999891,-125213.0390625,-70296.69831617025,302.6928715992376,79.5
2000,3.999999999999781,-124729.8125,-69392.526188571,305.01307757354715,80.3
2500,4.999999999999671,-125036.84375,-70521.83530424722,300.48077179658844,79.7
3000,5.999999999999561,-126084.625,-72030.71033787983,297.93927322717326,80.2
3500,6.999999999999451,-126070.515625,-71432.85101319896,301.15683918592885,79.7
4000,7.999999999999341,-125838.96875,-71420.31529640942,299.94967360479114,80
4500,8.999999999999675,-126716.765625,-72399.57569037355,299.39041777127375,80.2
5000,10.000000000000009,-125666.4921875,-71244.7956512419,299.966446744054,80
5500,11.000000000000343,-125847.3046875,-71377.79863804893,300.2299675584686,79
6000,12.000000000000677,-126150.9453125,-72186.98610141361,297.44344860704433,78.9
6500,13.00000000000101,-125373.15625,-70786.24034115032,300.87711787861815,78.9
7000,14.000000000001345,-126151.203125,-71744.88837823132,299.88166400056434,79.2
7500,15.000000000001679,-125532.8046875,-71766.00740322052,296.3567136027786,79.1
8000,16.00000000000201,-126441.828125,-72453.23634929629,297.5792206125629,78.7
8500,17.000000000001457,-126038.875,-72009.64536446356,297.8032120570263,78.9
9000,18.000000000000902,-126519.359375,-71727.22734172898,302.0082467403625,78.9
9500,19.000000000000348,-126206.40625,-70972.78786627087,304.44167127986924,79.1
10000,19.999999999999794,-125585.09375,-70794.80472791579,301.9980882640157,79
10500,20.99999999999924,-125992.6484375,-71823.21065152436,298.5760240670999,78.7
11000,21.999999999998685,-125536.28125,-71098.15388635662,300.05701166983766,78.9
11500,22.99999999999813,-126400.2421875,-71528.83618210675,302.44519621548494,79
12000,23.999999999997577,-125981.1484375,-71834.3106621704,298.4514552770521,79
12500,24.999999999997023,-126072.546875,-71386.56155863137,301.42317763136214,79.2
13000,25.99999999999647,-126044.984375,-71499.12763326586,300.65080423443186,79.1
13500,26.999999999995914,-126346.3984375,-71599.70524918975,301.75779279029217,79.2
14000,27.99999999999536,-126342.421875,-72223.7756341307,298.29606661851074,79.1
14500,28.999999999994806,-126425.984375,-72053.4553344429,299.6954408783896,79.1
15000,29.99999999999425,-126609.484375,-72139.23625427927,300.2340577742494,79.2
15500,30.999999999993697,-126598.53125,-72635.31884641701,297.4393322856605,79.2
16000,31.999999999993143,-126236.8828125,-71643.96417437374,300.9102042667035,79.2
16500,32.999999999994365,-126440.0078125,-71871.57388248434,300.77524723009935,79.3
17000,33.99999999999559,-127066.8046875,-72430.81331057334,301.1476164980712,79.4
17500,34.99999999999681,-126750.421875,-72297.52702965366,300.13840841591013,79.3
18000,35.99999999999803,-126050.25,-70913.15850193781,303.90962562985004,79.4
18500,36.999999999999254,-126826.75,-72652.52843068633,298.60239175831936,79.3
19000,38.000000000000476,-126976.375,-72563.87333775056,299.9157656028882,79.4
19500,39.0000000000017,-127171.5625,-72366.6289178934,302.0788074792118,79.4
20000,40.00000000000292,-127035.7578125,-72596.76348409685,300.0617902848937,79.4
20500,41.00000000000414,-126883.359375,-73113.71239770483,296.3724207994048,79.4
21000,42.000000000005365,-126634.109375,-72730.24109261902,297.11223397184267,79.5
21500,43.00000000000659,-126500.5078125,-71989.19081553665,300.46042493408356,79.3
22000,44.00000000000781,-126040.75,-71765.46409959998,299.15944731185834,79.3
22500,45.00000000000903,-126577.515625,-71721.25164406141,302.361735030677,79
23000,46.00000000001025,-127401.21875,-72662.95096529135,301.71135288595957,78.8
23500,47.000000000011475,-126579.109375,-72656.96465037041,297.2129717251537,78.6
24000,48.0000000000127,-127036.359375,-72463.54182105628,300.799409286361,78.3
24500,49.00000000001392,-126624.4296875,-71903.61037628911,301.61517880596296,78.2
25000,50.00000000001514,-126328.671875,-71810.20752069319,300.4998203870441,78
25500,51.000000000016364,-126347.078125,-71964.311398827,299.7518698832266,77.8
26000,52.000000000017586,-126992.578125,-72212.22144239233,301.9433422937454,77.7
26500,53.00000000001881,-126715.3828125,-72120.5106304218,300.920971987578,77.6
27000,54.00000000002003,-126172.1796875,-71880.26977948332,299.251077025976,77.5
